Group Name,Module,Lesson,YouTube Link,Duration
Quantitative Methods,Prerequisites,Formatting the Texas Instruments BA II Plus calculator for the CFA exam,https://youtu.be/2BHL9PfyUSU,641
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - computing future value,https://youtu.be/QPwxWo5GjhA,804
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - computing present value,https://youtu.be/IXO4L3lVA-4,489
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - computing the number of periods,https://youtu.be/u02cjdJ10tI,215
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - computing the rate of interest,https://youtu.be/uCwijJwx2R8,378
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - annuities,https://youtu.be/E39PqJOZEpQ,812
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - perpetuities,https://youtu.be/Oz3O6D9BenE,247
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - unequal cash flows using the CF worksheet,https://youtu.be/B9AxD39BbkA,697
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - computing PMT,https://youtu.be/Yhz4H5Qfx6o,263
Quantitative Methods,Prerequisites,Time Value of Money (TVM) - solving more complex TVM problems,https://youtu.be/FPfHQDpoEO0,416
Quantitative Methods,Module 1,Determinants of interest rates,https://youtu.be/b_VfeLX9yVA,1764
Quantitative Methods,Module 1,"Rates of return - holding period return, arithmetic and geometric mean",https://youtu.be/DcCa74GHM50,1704
Quantitative Methods,Module 1,"Dealing with extreme values - harmonic, trimmed and windsorized means",https://youtu.be/4Tr0PP9m3N4,1129
Quantitative Methods,Module 1,Special return measures,https://youtu.be/Misj1xqAsNU,1028
Quantitative Methods,Module 1,MWR and TWR - money-weighted and time-weighted rates of return,https://youtu.be/JQNIpJGbhB0,2804
Quantitative Methods,Module 1,Annualized returns,https://youtu.be/Ro6p2Wb9_5M,1268
Quantitative Methods,Module 3,Properties of the arithmetic mean,https://youtu.be/lxySuPkjq7M,710
Quantitative Methods,Module 3,Mode and median,https://youtu.be/Sm4LGWYhxl8,358
Quantitative Methods,Module 3,Dealing with outliers,https://youtu.be/kzGibUtrUUE,647
Quantitative Methods,Module 3,Quartiles and quintiles,https://youtu.be/XXLl9yG-s0A,441
Quantitative Methods,Module 3,Deciles and percentiles,https://youtu.be/6vp_EQmSuhU,238
Quantitative Methods,Module 3,Measures of location continued,https://youtu.be/zwJ9UInXkC8,788
Quantitative Methods,Module 3,Range and Mean Absolute Deviation - MAD,https://youtu.be/kZblOZOSqQc,693
