Group Name,Module,Lesson,YouTube Link,Duration,Page
Quantitative Methods,Module 1: Basics of Multiple Regression and Underlying Assumptions,Uses of Multiple Linear Regression,,,12
Quantitative Methods,Module 1: Basics of Multiple Regression and Underlying Assumptions,The Basics of Multiple Regression,,,15
Quantitative Methods,Module 1: Basics of Multiple Regression and Underlying Assumptions,Assumptions Underlying Multiple Linear Regression,,,18
Quantitative Methods,Module 2: Evaluating Regression Model Fit and Interpreting Model Results,Goodness of Fit,,,33
Quantitative Methods,Module 2: Evaluating Regression Model Fit and Interpreting Model Results,Testing Joint Hypotheses for Coefficients,,,40
Quantitative Methods,Module 2: Evaluating Regression Model Fit and Interpreting Model Results,Forecasting Using Multiple Regression,,,50
Quantitative Methods,Module 3: Model Misspecification,Model Specification Errors,,,57
Quantitative Methods,Module 3: Model Misspecification,Misspecified Functional Form,,,58
Quantitative Methods,Module 3: Model Misspecification,Violations of Regression Assumptions: Heteroskedasticity,,,62
Quantitative Methods,Module 3: Model Misspecification,Violations of Regression Assumptions: Serial Correlation,,,68
Quantitative Methods,Module 3: Model Misspecification,Violations of Regression Assumptions: Multicollinearity,,,73
Quantitative Methods,Module 4: Extensions of Multiple Regression,Influence Analysis,,,83
Quantitative Methods,Module 4: Extensions of Multiple Regression,Dummy Variables in a Multiple Linear Regression,,,90
Quantitative Methods,Module 4: Extensions of Multiple Regression,Multiple Linear Regression with Qualitative Dependent Variables,,,98
Quantitative Methods,Module 5: Time-Series Analysis,Linear Trend Models,,,121
Quantitative Methods,Module 5: Time-Series Analysis,Log-Linear Trend Models,,,124
Quantitative Methods,Module 5: Time-Series Analysis,Trend Models and Testing for Correlated Errors,,,129
Quantitative Methods,Module 5: Time-Series Analysis,AR Time-Series Models and Covariance-Stationary Series,,,130
Quantitative Methods,Module 5: Time-Series Analysis,Detecting Serially Correlated Errors in an AR Model,,,132
Quantitative Methods,Module 5: Time-Series Analysis,Mean Reversion and Multiperiod Forecasts,,,135
Quantitative Methods,Module 5: Time-Series Analysis,Comparing Forecast Model Performance,,,139
Quantitative Methods,Module 5: Time-Series Analysis,Instability of Regression Coefficients,,,142
Quantitative Methods,Module 5: Time-Series Analysis,Random Walks,,,144
Quantitative Methods,Module 5: Time-Series Analysis,The Unit Root Test of Nonstationarity,,,148
Quantitative Methods,Module 5: Time-Series Analysis,Moving-Average Time-Series Models,,,153
Quantitative Methods,Module 5: Time-Series Analysis,Seasonality in Time-Series Models,,,157
Quantitative Methods,Module 5: Time-Series Analysis,AR Moving-Average Models and ARCH Models,,,163
Quantitative Methods,Module 5: Time-Series Analysis,Regressions with More Than One Time Series,,,167
Quantitative Methods,Module 5: Time-Series Analysis,Other Issues in Time Series,,,171
Quantitative Methods,Module 6: Machine Learning,What Is Machine Learning,,,207
Quantitative Methods,Module 6: Machine Learning,Evaluating ML Algorithm Performance,,,211
Quantitative Methods,Module 6: Machine Learning,Supervised ML Algorithms: Penalized Regression,,,217
Quantitative Methods,Module 6: Machine Learning,Support Vector Machine,,,219
Quantitative Methods,Module 6: Machine Learning,K-Nearest Neighbor,,,221
Quantitative Methods,Module 6: Machine Learning,Classification and Regression Tree,,,222
Quantitative Methods,Module 6: Machine Learning,Ensemble Learning and Random Forest,,,226
Quantitative Methods,Module 6: Machine Learning,Case Study: Classification of Winning and Losing Funds,,,232
Quantitative Methods,Module 6: Machine Learning,Unsupervised ML Algorithms and Principal Component Analysis,,,240
